Code SAP;Code 6 chiffres;Libellé;Libellé Long;Product Brand;Umbrella Brand;Sous-marque;Marque;Pôle;Cluster;Famille;Product Type;Source;Date de lancement;Date d'arrêt;Multi-affectation Usine;Usine 1;Usine 2;Usine 3;Pays Cial 1;Pays Cial 2;Pays Cial 3;Pays Cial 4;Atelier SAP;Sous_Atelier1 ;Transformable;Nature du stickage;Typologie du stickage;Type de copacking;Produit source;Commentaires2;CE 1;Facilité dégagement;Passage par CE;Délai transport Usine=>Base;Prévisionniste;Forecast Type;Unité de Besoin Cial;Incertit Prev;Code Spécifique ;Code canni 1;Code canni 2;Code canni 3;Code switch;Type Promo;Code produit de référence;Type palette;Nbre UV par caisse;Nbre caisses par couche;Nbre caisses par palette;Poids brut palette;Poids net caisse;Forecast Class;Forecast Unit;EAN 13;Nbre pots par UV;EAN canni
16701;016701;DANET4 VAN CHOC;DANET VANILLE 125X4 PX CHOC;DANETTE CREME DESSERT;DANETTE;Danette x4 std et spec;DANETTE;Small Format;8;Lot;;Danone France;2-mai-2006;1-déc-2099;Oui;Bailleul (FR);St Just (FR);F73;FR;;;;Dessert;3 - LOT 4;OUI;Copacking d'ajustement;;;90629;;;N/A;Non;N/A;Manon;N/A;>>DANET_C. DESSERT_4 LOT;N/A;;90629;;;;>>> Promo Lot;90629;Europe;8;8;128;574;4;N/A;N/A;3033490167011;4;
16703;016703;DANET4 CARAM CHOC;DANET CARAMEL 125X4 PX CHOC;DANETTE CREME DESSERT;DANETTE;Danette x4 std et spec;DANETTE;Small Format;8;Lot;;Danone France;2-mai-2006;1-déc-2099;Non;St Just (FR); ;F73;FR;;;;Dessert;3 - LOT 4;OUI;Copacking d'ajustement;;;90631;;;N/A;Non;N/A;Manon;N/A;>>DANET_C. DESSERT_4 LOT;N/A;;90631;;;;>>> Promo Lot;90631;Europe;8;8;128;574;4;N/A;N/A;3033490167035;4;
16704;016704;DANET4 PISTA CHOC;DANET PISTACHE 125X4 PX CHOC;DANETTE CREME DESSERT;DANETTE;Danette x4 std et spec;DANETTE;Small Format;8;Lot;;Danone France;2-mai-2006;1-déc-2099;Non;Bailleul (FR); ;F73;FR;;;;Dessert;2 - LOT 4 BAI;OUI;Copacking d'ajustement;;;11213;;;N/A;Non;N/A;Manon;N/A;>>DANET_C. DESSERT_4 LOT;N/A;;11213;;;;>>> Promo Lot;11213;Europe;8;8;128;574;4;N/A;N/A;3033490167042;4;
16705;016705;DANET4 CAFE CHOC;DANET EXPRESSO 125X4 PX CHOC;DANETTE CREME DESSERT;DANETTE;Danette x4 std et spec;DANETTE;Small Format;8;Lot;;Danone France;2-mai-2006;1-déc-2099;Non;Bailleul (FR); ;F73;FR;;;;Dessert;2 - LOT 4 BAI;OUI;Copacking d'ajustement;;;5690;;;N/A;Non;N/A;Manon;N/A;>>DANET_C. DESSERT_4 LOT;N/A;;5690;;;;>>> Promo Lot;5690;Europe;8;8;128;574;4;N/A;N/A;3033490167059;4;
16706;016706;DANET4 NOIRE CHOC;DANET EXTRA NOIR 125X4 CHOC;DANETTE CREME DESSERT;DANETTE;Danette x4 std et spec;DANETTE;Small Format;8;Lot;;Danone France;2-mai-2006;1-déc-2099;Non;Bailleul (FR); ;F73;FR;;;;Dessert;2 - LOT 4 BAI;OUI;Copacking d'ajustement;;;5689;;;N/A;Non;N/A;Manon;N/A;>>DANET_C. DESSERT_4 LOT;N/A;;5689;;;;>>> Promo Lot;5689;Europe;8;8;128;574;4;N/A;N/A;3033490167066;4;
17599;017599;DANACOL 8 NATURE;DANACOL SPOON NATURE 125X8;DANACOL NATURE;DANACOL;Danacol;DANACOL;;;FdR;;Danone France;1-sept-2006;1-déc-2099;Non;Bailleul (FR); ;F63 - KISS;FR;;;;Set yoghurt;10 DANACOL;NON;;;;;;;N/A;Non;N/A;Roxane;N/A;>>DANACOL_NATURE_8 FDR;N/A;;;;;;>>> Promo Hors Lot;17599;Europe;3;9;216;733;3;N/A;N/A;3033490175993;8;
17949;017949;ACTIVIA FIG 4 BE;ACTIVIA FIGUE 125X4 BE;ACTIVIA YOGHURT FRUITS;ACTIVIA;Export;EXPORT;;;Export;;Danone France;21-août-2006;22-janv-2018;Oui;Ferrières (FR);Villecomtal (FR);F63 - KISS;BE;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;>>> Promo Hors Lot;17949;Europe;6;9;216;714;3;N/A;N/A;5410146409264;4;
17986;017986;VEL NAT16 PX CHOC;VELOUTE NAT 125X16 PX CHOC;VELOUTE NATURE;VELOUTE;Vel nature;VELOUTE;;;Lot;;Danone France;2-janv-2007;1-déc-2099;Non;St Just (FR); ;F63 - KISS;FR;;;;Stirred yoghurt;2 VN LOT;OUI;Copacking d'ajustement;;;91683;;;N/A;Non;N/A;PE;N/A;>>VELOUTE_NATURE_16 LOT;N/A;;120168;120170;;;>>> Promo Lot;120168;Europe;3;9;108;732;6;N/A;N/A;3033490179861;16;
20231;020231;ACTIV0%2X4 MIX UK;ACTIVIA 00% 125GX8 (2X4) PANAC UK;ACTIVIA 0%;ACTIVIA;Export;EXPORT;;;Export;;Danone France;2-avr-2007;1-déc-2099;Non;Ferrières (FR); ;F63 - KISS;UK;;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>_Export_;N/A;;;;;;>>> Promo Hors Lot;20231;Europe;6;9;108;729;6;N/A;N/A;5060058334101;8;
20484;020484;ACTIV 4 NAT NL;ACTIVIA BRASSE NAT 125GX4 NL;ACTIVIA YOGHURT NATURE;ACTIVIA;Export;EXPORT;;;Export;;Danone France;2-avr-2007;1-déc-2099;Non;St Just (FR); ;F63 - KISS;NL;IE;;;Stirred yoghurt;Export;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>ACTIVIA_Export_;N/A;;;;;;>>> Promo Hors Lot;20484;Europe;6;9;216;744;3;N/A;N/A;5410146405013;4;
21306;021306;DGAL CHOCx4 FI GR;DANET PUDDING CHOCO 70GX4;DANETTE GOUTER AU LAIT;DANETTE;Export;EXPORT;;;Export;;Danone France;1-sept-2007;1-déc-2099;Non;Le Molay (FR); ;F63 - OTHERS;GR;RO;HU via RO;;Dessert;DGAL;NON;;;;;;;N/A;Non;N/A;Export;N/A;>>DANET_GAL_4 FDR;N/A;;;;;;>>> Promo Hors Lot;21306;Europe;6;9;288;559;1,68;N/A;N/A;3033490213060;4;
21385;021385;ACTM 12 NAT AFH;ACTIMEL NATURE 100GX12 AFH;ACTIMEL DRINK NATURAL;ACTIMEL;CHD restauration;CHD;;6;FdR;;Import;1-oct-2007;1-déc-2099;Non;Rotselaar (BE); ;BA100ml;FR;NL;IE;IT;IMPORT;Act x12 AFH;NON;;;;;;;N/A;Non;N/A;PE;N/A;>>ACTM_NATURE_12 FDR;N/A;;;;;;>>> Promo Hors Lot;21385;Europe;2;16;256;729;2,4;N/A;N/A;5410146961793;12;
21596;021596;DANET 6 CHOCO D;DANETTE CHOCOLAT 125GX6 D;DANETTE CREME DESSERT;DANETTE;Danette GF;DANETTE;BF;8;FdR;;Danone France;15-mai-2007;1-déc-2099;Non;St Just (FR); ;F73;FR;;;;Dessert;6 - LIDL 6;NON;;;;;;;N/A;Non;N/A;Manon;N/A;>>DANET_C. DESSERT_6 FDR;N/A;O;;;;;>>> Promo Hors Lot;21596;Europe;6;8;128;639;4,5;N/A;N/A;3033490215965;6;
